feature_name,last_updated_at,expected_frequency_hours,status
rolling_7d_purchase_count,2026-07-03T09:43:07.176137,24,fresh
rolling_30d_spend,2026-07-03T09:43:07.176137,24,fresh
recency_days,2026-07-03T09:43:07.176137,24,fresh
rolling_1h_sales,2026-07-03T09:43:07.176137,24,fresh
rolling_24h_sales,2026-07-03T09:43:07.176137,24,fresh
conversion_rate,2026-07-03T09:43:07.176137,24,fresh
refund_rate,2026-07-03T09:43:07.176137,24,fresh
net_revenue_30d,2026-07-03T09:43:07.176137,24,fresh
error_rate_last_10min,2026-07-03T09:43:07.176137,24,fresh
